label,message
spam,"You just won 10 lakh rupees. Claim your prize now!"
spam,"Congratulations! You won 10 lakh rupees. Click here to claim your reward."
spam,"URGENT! You just won 10 lakh rupees, click here to claim."
spam,"Congratulations you won 10 crore rupees. Claim your cash reward now."
spam,"You have won 10 crore rupees. Claim your prize immediately."
spam,"URGENT! Congratulations, you have won a cash prize of 10 lakh rupees."
spam,"You are selected for a reward of 10 lakh rupees. Claim now."
spam,"WINNER! You have won 10 lakh rupees. Click the link to receive your prize."
spam,"You have been selected to receive 10 crore rupees. Claim your reward today."
spam,"Congratulations! Your lucky number won a cash prize. Claim now."
spam,"URGENT! Your cash reward is waiting. Click now to claim your prize."
spam,"You just won a huge cash reward. Claim your prize immediately."
spam,"FREE CASH PRIZE! You have won 10 lakh rupees. Claim now."
spam,"Congratulations winner! Receive your 10 lakh rupees by clicking the link."
spam,"Limited time! Claim your 10 crore rupee prize before it expires."
spam,"You are today's lucky winner. Claim your cash reward now."
spam,"WINNER! Cash reward available. Click here immediately to claim."
spam,"Congratulations! A cash prize has been reserved for you. Claim now."
spam,"Urgent reward notification: you have won a cash prize. Claim immediately."
spam,"You have won a special prize worth 10 lakh rupees. Click to claim."
ham,"Please confirm the meeting time for tomorrow."
ham,"Can you send me the notes from today's class?"
ham,"I will reach home by 8 pm."
ham,"Let's meet for lunch tomorrow."
ham,"Please call me when you are free."
ham,"The project meeting is scheduled for Monday."
ham,"Can you share the assignment document with me?"
ham,"I am running late. Please wait for me."
ham,"Are we still meeting at 5 pm today?"
ham,"Please remind me about the presentation tomorrow."
