label,message
spam,"You won 10 lakh rupees"
spam,"You won 10 crore rupees"
spam,"You have won 10 lakh rupees"
spam,"You have won 10 crore rupees"
spam,"Congratulations you won 10 lakh rupees"
spam,"Congratulations you won 10 crore rupees"
spam,"You are a lucky winner of 10 lakh rupees"
spam,"You are a lucky winner of 10 crore rupees"
spam,"Your cash prize is 10 lakh rupees"
spam,"Your cash prize is 10 crore rupees"
spam,"You have won a cash prize of 10 lakh rupees"
spam,"You have won a cash prize of 10 crore rupees"
spam,"Winner you have received 10 lakh rupees"
spam,"Winner you have received 10 crore rupees"
spam,"Claim your 10 lakh rupees prize"
spam,"Claim your 10 crore rupees prize"
spam,"Cash reward of 10 lakh rupees"
spam,"Cash reward of 10 crore rupees"
spam,"You won a special reward of 10 lakh rupees"
spam,"You won a special reward of 10 crore rupees"
